texto,etiqueta,label
"No le crean, es un ignorante sin estudios #68",ad_hominem,0
Ellos siempre han estado en contra del pueblo #69,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #49",logos,2
Juntos lograremos lo imposible con esperanza #249,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #215",logos,2
Juntos lograremos lo imposible con esperanza #4,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #78,framing_binario,1
Ellos siempre han estado en contra del pueblo #133,framing_binario,1
Ellos siempre han estado en contra del pueblo #202,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #23",logos,2
"No le crean, es un ignorante sin estudios #219",ad_hominem,0
Juntos lograremos lo imposible con esperanza #38,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #187,framing_binario,1
Juntos lograremos lo imposible con esperanza #15,retorica_vacia,3
"No le crean, es un ignorante sin estudios #89",ad_hominem,0
"No le crean, es un ignorante sin estudios #64",ad_hominem,0
Juntos lograremos lo imposible con esperanza #77,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #217",logos,2
Ellos siempre han estado en contra del pueblo #102,framing_binario,1
Juntos lograremos lo imposible con esperanza #187,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #7,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #136",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #145",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #55",logos,2
Juntos lograremos lo imposible con esperanza #210,retorica_vacia,3
"No le crean, es un ignorante sin estudios #169",ad_hominem,0
Juntos lograremos lo imposible con esperanza #168,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #29",logos,2
Juntos lograremos lo imposible con esperanza #74,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #236,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #67,retorica_vacia,3
"No le crean, es un ignorante sin estudios #87",ad_hominem,0
Ellos siempre han estado en contra del pueblo #183,framing_binario,1
"No le crean, es un ignorante sin estudios #185",ad_hominem,0
Juntos lograremos lo imposible con esperanza #229,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #35",logos,2
Ellos siempre han estado en contra del pueblo #45,framing_binario,1
Juntos lograremos lo imposible con esperanza #143,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #176,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #214",logos,2
Ellos siempre han estado en contra del pueblo #11,framing_binario,1
"No le crean, es un ignorante sin estudios #238",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #60",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #84",logos,2
Ellos siempre han estado en contra del pueblo #196,framing_binario,1
Juntos lograremos lo imposible con esperanza #118,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #51,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #100",logos,2
Juntos lograremos lo imposible con esperanza #100,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #16,framing_binario,1
Juntos lograremos lo imposible con esperanza #246,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #30",logos,2
"No le crean, es un ignorante sin estudios #56",ad_hominem,0
"No le crean, es un ignorante sin estudios #121",ad_hominem,0
"No le crean, es un ignorante sin estudios #216",ad_hominem,0
"No le crean, es un ignorante sin estudios #26",ad_hominem,0
"No le crean, es un ignorante sin estudios #73",ad_hominem,0
"No le crean, es un ignorante sin estudios #45",ad_hominem,0
"No le crean, es un ignorante sin estudios #248",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #222",logos,2
Ellos siempre han estado en contra del pueblo #32,framing_binario,1
Juntos lograremos lo imposible con esperanza #144,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #165,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #61,retorica_vacia,3
"No le crean, es un ignorante sin estudios #245",ad_hominem,0
Juntos lograremos lo imposible con esperanza #73,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #72,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #144",logos,2
"No le crean, es un ignorante sin estudios #159",ad_hominem,0
Juntos lograremos lo imposible con esperanza #228,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #180,framing_binario,1
Juntos lograremos lo imposible con esperanza #192,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #213,framing_binario,1
Ellos siempre han estado en contra del pueblo #60,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #198",logos,2
"No le crean, es un ignorante sin estudios #61",ad_hominem,0
Juntos lograremos lo imposible con esperanza #135,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #96",logos,2
Juntos lograremos lo imposible con esperanza #18,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #150",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #151",logos,2
Juntos lograremos lo imposible con esperanza #116,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #169",logos,2
Ellos siempre han estado en contra del pueblo #49,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #190",logos,2
Ellos siempre han estado en contra del pueblo #65,framing_binario,1
Ellos siempre han estado en contra del pueblo #61,framing_binario,1
Ellos siempre han estado en contra del pueblo #112,framing_binario,1
Ellos siempre han estado en contra del pueblo #230,framing_binario,1
"No le crean, es un ignorante sin estudios #111",ad_hominem,0
Juntos lograremos lo imposible con esperanza #240,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #237,framing_binario,1
Ellos siempre han estado en contra del pueblo #114,framing_binario,1
Ellos siempre han estado en contra del pueblo #5,framing_binario,1
Ellos siempre han estado en contra del pueblo #10,framing_binario,1
Juntos lograremos lo imposible con esperanza #53,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #178",logos,2
Ellos siempre han estado en contra del pueblo #245,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #171",logos,2
Ellos siempre han estado en contra del pueblo #128,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #27",logos,2
Juntos lograremos lo imposible con esperanza #96,retorica_vacia,3
"No le crean, es un ignorante sin estudios #138",ad_hominem,0
Ellos siempre han estado en contra del pueblo #106,framing_binario,1
Ellos siempre han estado en contra del pueblo #116,framing_binario,1
Juntos lograremos lo imposible con esperanza #193,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #250",logos,2
Juntos lograremos lo imposible con esperanza #199,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #80,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #157",logos,2
"No le crean, es un ignorante sin estudios #200",ad_hominem,0
"No le crean, es un ignorante sin estudios #214",ad_hominem,0
Ellos siempre han estado en contra del pueblo #159,framing_binario,1
Ellos siempre han estado en contra del pueblo #83,framing_binario,1
"No le crean, es un ignorante sin estudios #209",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #114",logos,2
"No le crean, es un ignorante sin estudios #79",ad_hominem,0
"No le crean, es un ignorante sin estudios #30",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #36",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #196",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #58",logos,2
Juntos lograremos lo imposible con esperanza #87,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #97",logos,2
"No le crean, es un ignorante sin estudios #166",ad_hominem,0
Juntos lograremos lo imposible con esperanza #169,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #246,framing_binario,1
Juntos lograremos lo imposible con esperanza #75,retorica_vacia,3
"No le crean, es un ignorante sin estudios #66",ad_hominem,0
"No le crean, es un ignorante sin estudios #142",ad_hominem,0
Juntos lograremos lo imposible con esperanza #176,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #78,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #156",logos,2
Ellos siempre han estado en contra del pueblo #82,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #165",logos,2
"No le crean, es un ignorante sin estudios #250",ad_hominem,0
Juntos lograremos lo imposible con esperanza #158,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #209",logos,2
Ellos siempre han estado en contra del pueblo #56,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #235",logos,2
Juntos lograremos lo imposible con esperanza #226,retorica_vacia,3
"No le crean, es un ignorante sin estudios #50",ad_hominem,0
Juntos lograremos lo imposible con esperanza #147,retorica_vacia,3
"No le crean, es un ignorante sin estudios #3",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #45",logos,2
Ellos siempre han estado en contra del pueblo #101,framing_binario,1
Juntos lograremos lo imposible con esperanza #155,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #37",logos,2
Ellos siempre han estado en contra del pueblo #95,framing_binario,1
Juntos lograremos lo imposible con esperanza #245,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #232,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #76",logos,2
"No le crean, es un ignorante sin estudios #34",ad_hominem,0
"No le crean, es un ignorante sin estudios #32",ad_hominem,0
"No le crean, es un ignorante sin estudios #232",ad_hominem,0
Juntos lograremos lo imposible con esperanza #214,retorica_vacia,3
"No le crean, es un ignorante sin estudios #193",ad_hominem,0
Ellos siempre han estado en contra del pueblo #84,framing_binario,1
"No le crean, es un ignorante sin estudios #4",ad_hominem,0
"No le crean, es un ignorante sin estudios #205",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #15",logos,2
Juntos lograremos lo imposible con esperanza #50,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #57,framing_binario,1
"No le crean, es un ignorante sin estudios #110",ad_hominem,0
Ellos siempre han estado en contra del pueblo #181,framing_binario,1
"No le crean, es un ignorante sin estudios #78",ad_hominem,0
"No le crean, es un ignorante sin estudios #85",ad_hominem,0
Ellos siempre han estado en contra del pueblo #37,framing_binario,1
"No le crean, es un ignorante sin estudios #83",ad_hominem,0
Juntos lograremos lo imposible con esperanza #242,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #40,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #145,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #149,framing_binario,1
Ellos siempre han estado en contra del pueblo #74,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #20",logos,2
Juntos lograremos lo imposible con esperanza #167,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #173,retorica_vacia,3
"No le crean, es un ignorante sin estudios #6",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #232",logos,2
Ellos siempre han estado en contra del pueblo #216,framing_binario,1
"No le crean, es un ignorante sin estudios #98",ad_hominem,0
Ellos siempre han estado en contra del pueblo #17,framing_binario,1
Ellos siempre han estado en contra del pueblo #108,framing_binario,1
Juntos lograremos lo imposible con esperanza #119,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #49,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #131,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #132",logos,2
Ellos siempre han estado en contra del pueblo #132,framing_binario,1
Ellos siempre han estado en contra del pueblo #241,framing_binario,1
"No le crean, es un ignorante sin estudios #119",ad_hominem,0
Juntos lograremos lo imposible con esperanza #151,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #1,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #24",logos,2
"No le crean, es un ignorante sin estudios #10",ad_hominem,0
"No le crean, es un ignorante sin estudios #197",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #104",logos,2
"No le crean, es un ignorante sin estudios #82",ad_hominem,0
Juntos lograremos lo imposible con esperanza #34,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #88",logos,2
Juntos lograremos lo imposible con esperanza #48,retorica_vacia,3
"No le crean, es un ignorante sin estudios #240",ad_hominem,0
Ellos siempre han estado en contra del pueblo #41,framing_binario,1
"No le crean, es un ignorante sin estudios #212",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #218",logos,2
Ellos siempre han estado en contra del pueblo #110,framing_binario,1
Ellos siempre han estado en contra del pueblo #200,framing_binario,1
"No le crean, es un ignorante sin estudios #228",ad_hominem,0
Juntos lograremos lo imposible con esperanza #201,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #197,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #47,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #2",logos,2
Ellos siempre han estado en contra del pueblo #215,framing_binario,1
Ellos siempre han estado en contra del pueblo #113,framing_binario,1
Ellos siempre han estado en contra del pueblo #219,framing_binario,1
Juntos lograremos lo imposible con esperanza #186,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #179,framing_binario,1
"No le crean, es un ignorante sin estudios #8",ad_hominem,0
"No le crean, es un ignorante sin estudios #156",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #42",logos,2
Ellos siempre han estado en contra del pueblo #191,framing_binario,1
Ellos siempre han estado en contra del pueblo #233,framing_binario,1
Ellos siempre han estado en contra del pueblo #173,framing_binario,1
Juntos lograremos lo imposible con esperanza #29,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #200,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #85,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #77",logos,2
Juntos lograremos lo imposible con esperanza #185,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #68",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #95",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #31",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #82",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #208",logos,2
Ellos siempre han estado en contra del pueblo #199,framing_binario,1
Ellos siempre han estado en contra del pueblo #204,framing_binario,1
"No le crean, es un ignorante sin estudios #229",ad_hominem,0
Ellos siempre han estado en contra del pueblo #103,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #229",logos,2
"No le crean, es un ignorante sin estudios #213",ad_hominem,0
"No le crean, es un ignorante sin estudios #80",ad_hominem,0
"No le crean, es un ignorante sin estudios #149",ad_hominem,0
Ellos siempre han estado en contra del pueblo #53,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #129",logos,2
Juntos lograremos lo imposible con esperanza #28,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #7",logos,2
Ellos siempre han estado en contra del pueblo #93,framing_binario,1
Ellos siempre han estado en contra del pueblo #236,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #212",logos,2
"No le crean, es un ignorante sin estudios #134",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #204",logos,2
Ellos siempre han estado en contra del pueblo #62,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #223",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #130",logos,2
"No le crean, es un ignorante sin estudios #1",ad_hominem,0
Ellos siempre han estado en contra del pueblo #67,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #207",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #48",logos,2
Juntos lograremos lo imposible con esperanza #123,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #33",logos,2
Ellos siempre han estado en contra del pueblo #228,framing_binario,1
Ellos siempre han estado en contra del pueblo #155,framing_binario,1
"No le crean, es un ignorante sin estudios #173",ad_hominem,0
"No le crean, es un ignorante sin estudios #126",ad_hominem,0
Ellos siempre han estado en contra del pueblo #145,framing_binario,1
Ellos siempre han estado en contra del pueblo #171,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #53",logos,2
Juntos lograremos lo imposible con esperanza #154,retorica_vacia,3
"No le crean, es un ignorante sin estudios #91",ad_hominem,0
Juntos lograremos lo imposible con esperanza #190,retorica_vacia,3
"No le crean, es un ignorante sin estudios #182",ad_hominem,0
Ellos siempre han estado en contra del pueblo #25,framing_binario,1
Juntos lograremos lo imposible con esperanza #146,retorica_vacia,3
"No le crean, es un ignorante sin estudios #70",ad_hominem,0
Ellos siempre han estado en contra del pueblo #42,framing_binario,1
"No le crean, es un ignorante sin estudios #132",ad_hominem,0
Ellos siempre han estado en contra del pueblo #51,framing_binario,1
Ellos siempre han estado en contra del pueblo #175,framing_binario,1
Ellos siempre han estado en contra del pueblo #77,framing_binario,1
"No le crean, es un ignorante sin estudios #145",ad_hominem,0
Ellos siempre han estado en contra del pueblo #174,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #81",logos,2
"No le crean, es un ignorante sin estudios #136",ad_hominem,0
Ellos siempre han estado en contra del pueblo #201,framing_binario,1
"No le crean, es un ignorante sin estudios #165",ad_hominem,0
"No le crean, es un ignorante sin estudios #29",ad_hominem,0
Juntos lograremos lo imposible con esperanza #24,retorica_vacia,3
"No le crean, es un ignorante sin estudios #194",ad_hominem,0
Ellos siempre han estado en contra del pueblo #139,framing_binario,1
Juntos lograremos lo imposible con esperanza #103,retorica_vacia,3
"No le crean, es un ignorante sin estudios #170",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #206",logos,2
"No le crean, es un ignorante sin estudios #141",ad_hominem,0
"No le crean, es un ignorante sin estudios #174",ad_hominem,0
"No le crean, es un ignorante sin estudios #7",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #246",logos,2
Ellos siempre han estado en contra del pueblo #229,framing_binario,1
"No le crean, es un ignorante sin estudios #74",ad_hominem,0
Juntos lograremos lo imposible con esperanza #161,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #64,retorica_vacia,3
"No le crean, es un ignorante sin estudios #239",ad_hominem,0
"No le crean, es un ignorante sin estudios #146",ad_hominem,0
Juntos lograremos lo imposible con esperanza #43,retorica_vacia,3
"No le crean, es un ignorante sin estudios #235",ad_hominem,0
"No le crean, es un ignorante sin estudios #221",ad_hominem,0
Juntos lograremos lo imposible con esperanza #174,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #1",logos,2
"No le crean, es un ignorante sin estudios #133",ad_hominem,0
Juntos lograremos lo imposible con esperanza #241,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #25,retorica_vacia,3
"No le crean, es un ignorante sin estudios #186",ad_hominem,0
"No le crean, es un ignorante sin estudios #42",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #197",logos,2
"No le crean, es un ignorante sin estudios #109",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #89",logos,2
"No le crean, es un ignorante sin estudios #57",ad_hominem,0
Ellos siempre han estado en contra del pueblo #156,framing_binario,1
Ellos siempre han estado en contra del pueblo #193,framing_binario,1
Juntos lograremos lo imposible con esperanza #8,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #248,retorica_vacia,3
"No le crean, es un ignorante sin estudios #25",ad_hominem,0
Ellos siempre han estado en contra del pueblo #218,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #40",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #32",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #119",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #195",logos,2
Juntos lograremos lo imposible con esperanza #177,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #89,framing_binario,1
"No le crean, es un ignorante sin estudios #52",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #8",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #17",logos,2
Juntos lograremos lo imposible con esperanza #171,retorica_vacia,3
Juntos lograremos lo imposible con esperanza #32,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #15,framing_binario,1
Juntos lograremos lo imposible con esperanza #68,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #211",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #183",logos,2
Juntos lograremos lo imposible con esperanza #83,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #19",logos,2
Ellos siempre han estado en contra del pueblo #198,framing_binario,1
"No le crean, es un ignorante sin estudios #19",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #216",logos,2
Ellos siempre han estado en contra del pueblo #234,framing_binario,1
"Según el INEI, el 35% de hogares no tiene agua potable #69",logos,2
Ellos siempre han estado en contra del pueblo #184,framing_binario,1
Ellos siempre han estado en contra del pueblo #118,framing_binario,1
"No le crean, es un ignorante sin estudios #84",ad_hominem,0
"No le crean, es un ignorante sin estudios #62",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #139",logos,2
Ellos siempre han estado en contra del pueblo #23,framing_binario,1
Ellos siempre han estado en contra del pueblo #36,framing_binario,1
Ellos siempre han estado en contra del pueblo #111,framing_binario,1
Ellos siempre han estado en contra del pueblo #105,framing_binario,1
Ellos siempre han estado en contra del pueblo #207,framing_binario,1
Ellos siempre han estado en contra del pueblo #29,framing_binario,1
"No le crean, es un ignorante sin estudios #13",ad_hominem,0
"No le crean, es un ignorante sin estudios #183",ad_hominem,0
Ellos siempre han estado en contra del pueblo #119,framing_binario,1
Juntos lograremos lo imposible con esperanza #132,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #116",logos,2
"No le crean, es un ignorante sin estudios #224",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #73",logos,2
Juntos lograremos lo imposible con esperanza #221,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #154",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #46",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #83",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #134",logos,2
"No le crean, es un ignorante sin estudios #177",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #166",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #174",logos,2
"Según el INEI, el 35% de hogares no tiene agua potable #86",logos,2
Juntos lograremos lo imposible con esperanza #124,retorica_vacia,3
Ellos siempre han estado en contra del pueblo #144,framing_binario,1
"No le crean, es un ignorante sin estudios #164",ad_hominem,0
"No le crean, es un ignorante sin estudios #249",ad_hominem,0
"Según el INEI, el 35% de hogares no tiene agua potable #135",logos,2
Juntos lograremos lo imposible con esperanza #136,retorica_vacia,3
"Según el INEI, el 35% de hogares no tiene agua potable #170",logos,2
Ellos siempre han estado en contra del pueblo #126,framing_binario,1
Ellos siempre han estado en contra del pueblo #163,framing_binario,1
"No le crean, es un ignorante sin estudios #75",ad_hominem,0
"No le crean, es un ignorante sin estudios #114",ad_hominem,0
